id,text_nps
244,Spokojenost ve všech směrech.
245,Rychlost vyřízení požadavků. Některé služby jsou pořád dražší
246,"Problematické řešení změny limitu karty. Nelze měnit limit v internetovém bankovnictví. Nutná vždy osobní schůzka. A i po té změna limitu nenastala a bylo nutné znovu telefonicky urgovat. Vše bylo velice zdlouhavé. Další problém vidím v tom, že v KB Business jsem posílala dvě platby ve výši cca 400 000,- a prošly obě bez ověření autorizačním kodem. To považuji za zcela nepřípustné."
247,Ochotný a milý přístup na pobočce Horažďovice.
248,Děkuji KB Nám je spokojení vše
249,Spokojenost
250,Velká stabilní banka
251,Dobrá spolupráce
252,"*Nezajímám se podrobně o bankovnictví, proto předpokládám, že na trhu mohou existovat i lepší bankovní ústavy *Jako dlouholetý klient, bych si představovala i výhodnější služby *Váš 'spořící' účet mi nepřijde nijak zvlášť výhodný"
253,Vše v pořádku
254,Dlouhé čekací doby na cokoliv co klient potřebuje realizovat
255,Síť bankomatů v pořádku
256,Na Komerční bance mi vadí to
257,"Dobré a srozumitelné internetové bankovnictví, schopní a dobře připravení osobní bankéři se znalostmi produktů KB. Nízké úroky z běžného konta."
258,Platba za ucet? V dnešní době? Mam účet jen z duvodu nutnosti k hypotece
259,Proklientský servis všech na domácí pobočce
260,S bankou jsem víceméně spokojená
261,Chybí mi výběry ze všech bankomatů zdarma
262,Mizerné úročení vložených peněz ! Spořím si na stáří
263,Osobní bankéři nemají dostatečný rozhled.
264,příliš mnoho poplatků! Snažte se!
265,Vstricnost ochota profesionalni pristup
266,"Uvedene hodnocení jsem dal z duvodu že doposavad mě KB nikdy nezklamala a vždy se pracovníci na pobočce Roudnice Nad Labem snažili, aby mě ve všech mých problemech poradili a pomohli. Moc všem Děkuji !                                                           Dr. K.J.E. Č e r n ý  CsD "
267,Jsem maximálně spokojený s nabídkou
268,"Nedostávám notifikace na poplatky, ale jenom na platby.  Na příklad: Nedávno jsem ztratil peněženku s obouma kartama tak jsem si nechal udělat nové. Chtěl jsem si na ně zvíšit limity na pobočce (jak na minulých karet) a dozvěděl jsem se že jsem dostal poplatek 2x 80kc za zvíšení limitu... "
269,Vždy spokojenost.
