id,text_nps,
199,Žádné problémy,
200,Jsem spokojena se službami KB. Konkrétně mi vyhovuje spolupráce s mým osobním bankéřem v KB. ,
201,Perfektní servis.,
202,spokojenost se službami a vstřicnost zaměstnanců KB,
203,Pro nás poměrně vzdálená,
204,stále mény internet stránek a přístupů do internet bankovnictví ,
205,nikdy bych nějakou banku nikomu nedoporučoval,
206,Jednoduché a povedená grafika. ,
207,korektní přístup,
208,Jsem velmi spokojený se službami,
209,Jsem vcelku spokojená,
210,Časté výpadky internetového bankovnictví.  + Nesmyslné  bankovní poplatky.,
211,Vždy jsem byla spokojená,
212,občasná fronta u kasy,
213,Profesionalita a ochota. ,
214,Velmi flexibilní přístup,
215,Jsem spokojen nikdy jsem neměl problémy .,
216,všechny platby a příkazy byly vyřízeny celkem v pohodě,
217,Pracovníci dovedou vždy dobře poradit a jste spolehlivý finanční ústav.,
218,Jsem spokojená se službami,
219,Nevýhodné. Půjčky. Úrok. Spoření taky nic moc. ,
220,Poplatky za transakce. ,
221,"Okrádáte zákazníky, stejný produkt je stále dražší.  Nevím proč mám ročně platit paušál 12x49 Kč? Nehnete ani prstem. Měníte smlouvy jak na běžícím pásu, jste stupidní měniči podmínek. Nevím proč není můj vklad úročen přiměřeným způsobem? Za úvěr si přeci berete 4%? Etika všeho podnikání je ubohá, násilnická, jen z pozice síly. S pozdravem Jiří Ščudla.",
222,jsem spokojena,
223,Nejde přijít bez domluvení schůzky dopředu.,
224,Vždy mi KB vyšla vstříc.,
225,jsem s KB spokojen.,
226,neochota,
227,Vždy jste mi vyšli vstříc,
228,Spokojen,
229,nesmyslné poplatky,
230,Vše se vždy vyřešilo k dobrému. Jsem spokojený :-),
231,"Jsem spokojen,ale při sjednání schůzky-delší čekání,jelikož se předchozí klient strašně vykedával(mimo téma),nicméně úřednice za to nemohla. Měl jsem smůlu.",
232,Léta jsem u Vás platil poplatky,
233,spokojen s přístupem ke klientům.,
234,Lip propracovanou aplikaci,
235,PROTOŽE JSOU JEŠTĚ REZERVY,
236,Jsem se vším spokojená.,
237,Ve většině případů jsem spokojená,
238,Trochu mi vadí platby za výběry z bankomatu ,
239,Nízké úroky,
240,Okamžitá pomoc,
241,Za bezpečnost v elektronickém bankovnictví.,
242,Zrušení pracoviště v Kynšperku nad ohří,
243,"Jsem klientkou KB dlouhé roky, neměla jsem a ani nemám problém s jakýmkoliv dotazem nebo prosbou, vždy mi operátoři nebo poradci pomohou, poradí a vyjasní. Tudíž ani nemám důvod banku měnit.",
244,"Zbytecne poplatky napr za prichozi platbu v cizi mene. Podarilo se mi vyjednat vyjimku pres poradce, ale je to zbytecne usili navic kvuli necemu, co je jak z jine planety. Platebni internetovy system extremne slozity prosim inspirujte se u RB. Jinak vse ok. Preji vse dobre.... ",
245,Neurazí,
246,Moc dobra banka,
247,Nikdy jsem s bankou neměl potíže. Kvasnička,
248,Zavedli jste poplatek z transakcí na účtu. S vydáním nové karty jste zrušili cestovní pojištění.,
249,Poplatky za výběr z bankomatu,
250,Jsem už dlouho klientkou KM a ještě se mi nestalo,
251,Podle mého odpovídá mým představám,
252,Důvěryhodná banka,
253,Vysoké poplatky,
254,Jsem se službami KB spokojená,
255,Proste super,
256,blokace plateb ,
257,VŽDY VYHOVĚNO NA POBOČCE. PŘÍJEMNÁ OBSLUHA DOMLUVA SUPER. TAKZE KRASNE VÁNOCE KB????????,
258,.,
259,Jsem spokojená se všemi službami,
260,Vedete mi pouze účet,
261,protože je to pravda,
262,Slabý zvukový signál u bankumatu.,
263,Nedostatek bankomatu,
264,Velmi pomalé řešení problémů,
265,Banka umožňuje internetové bankovnictví,
266,V komercni bance jsem skoro 20 let a z tu dobu mi banka v nicem nikdy nepomohla. ,
267,Spokojen jsem se službami,
268,"Nejlepší online systém, nejlepší mobilní aplikace, nejlepší bankéřka:-)  Gratuluji",
269,KB je dobrá,
270,"Komunikace s naší poradkyní  je velmi dobrá,  pomohla nám  vyřešit finance k naší spokojenosti. Rovněž i program  spojení  přes  internet je dobrý.  ",
271,Velmi mile chovani a vstricnost me poradkyne.,
272,mizerné internetové bankovnictví,
273,Zdá se mi z dostupných bank nejjistější.,
274,jsem se službami spokojen. ,
275,služby super,
276,Vždy je co zlepšovat. ????,
277,Zatím bezproblémový vztah s KB.,
278,Ve většině bankomatů komerčky se dá vybrat minimálně 500Kč. Snad jediná nevýhoda.,
279,S Vašimi službami jsem dlouhodobě velmi spokojen. Komunikace s klienty se v posledních letech také velmi zlepšila a celkově jste z mého pohledu nabrali druhý dech a stáváte se velmi moderní a proklientskou bankou. Pokud bych měl něco vytknout,
280,Jsou i lepší produktové nabídky na trhu .....,
281,Spokojenost ,
282,-,
283,časté změny zaměstnanců ale  poslední je výborná !,
284,Protože jsem doposud s jednáním poradců i se službami maximálně spokojen. Vždy jsem odcházel s dobrým pocitem,
285,Již dvakrát jsem osobně na pobočce v Brandýse žádal o změnu 'domovské' pobočky z Nymburku do Brandýsa nad Labem (po přestěhování sem je to do Nymburku přece jen trochu z ruky) a doposud tak nebylo učiněno,
286,Malé úroky na sportovním účtu,
287,Pamatujeme lepší časy banky  na počátku ,
